Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	6998.00	302,155		0.0	1.0	4.5	93%	1	1	1
KOP TECHNOS	6999.00	623		1.0	1.0001	4.5	83%	1	0	0
Cannycom Store	6999.00	696		1.0	1.0001	4.5	93%	1	0	0
Mega_tronics	7899.00	2,755		901.0	1.1288	4	85%	1	0	0
e9accessories	7899.00	9,670		901.0	1.1288	4.5	92%	1	0	0
