Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
slidecart_electronics	94990.00	102	16-21 days	0.0	1.0	5	100%	0	0	1
STS Shop	129999.00	1,156	9-16 days	35009.0	1.3686	4	76%	0	0	0
MAROON	150000.00			55010.0	1.5791			0	0	0
