Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	14489.00	302,151		0.0	1.0	4.5	93%	1	1	1
Pro Audio Seller	14489.00	19	5-6 days	0.0	1.0	4.5	89%	0	0	0
ProAudioVideo	14490.00	292		1.0	1.0001	3.5	67%	0	0	0
STS Shop	23019.00	1,155	10-17 days	8530.0	1.5887	4	76%	0	0	0
Cart2India SLP	30391.00	1,333	11-19 days	15902.0	2.0975	3	53%	0	0	0
