Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	294.00	302,375		0.0	1.0	4.5	93%	1	1	1
Fantom Store	349.00	37		55.0	1.1871	4	79%	1	0	0
True Accessories	370.00	196		76.0	1.2585	4.5	91%	1	0	0
VSM INDIA	399.00	89		105.0	1.3571	3.5	55%	0	0	0
Smart- shoppers	420.00	95		126.0	1.4286	3.5	69%	1	0	0
