Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
FADDISH	5499.00	1,412		0.0	1.0	4.5	98%	1	0	0
OMNI RETAIL	5979.00	228		480.0	1.0873	4.5	84%	1	0	0
Appario Retail Private Ltd	5989.00	302,154		490.0	1.0891	4.5	93%	1	1	1
PBC Seeds	5990.00	25	6-8 days	491.0	1.0893	3.5	72%	0	0	0
CaymanSquare	6899.00	249		1400.0	1.2546	4	78%	1	0	0
on the web	7275.00	10,867		1776.0	1.323	4	82%	1	0	0
VantageKart	7490.00	854		1991.0	1.3621	5	97%	1	0	0
Extender	7490.00	201		1991.0	1.3621	4.5	90%	1	0	0
RADIO & GRAMOPHONE HOUSE	7490.00	742		1991.0	1.3621	4.5	83%	0	0	0
