Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1702.00	302,185		0.0	1.0	4.5	93%	1	1	1
G G	7212.00	4,506	11-19 days	5510.0	4.2374	4.5	87%	0	0	0
Cart2India SLP	8806.00	1,334	11-19 days	7104.0	5.1739	3	53%	0	0	0
Kiron	16505.00	476	11-19 days	14803.0	9.6974	5	100%	0	0	0
