Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
TheReliableStore	9680.00	873		0.0	1.0	4	75%	1	0	1	2020-08-01 06:47:26.307857
JJMEHTA Mumbai	9680.00			0.0	1.0	4.5	87%	1	0	0	2020-08-01 06:47:26.307857
GadgetZone2020	9690.00			10.0	1.001	4.5	84%	1	0	0	2020-08-01 06:47:26.307857
FotoCart dot in	16696.00	404		7016.0	1.7248	4	81%	1	0	0	2020-08-01 06:47:26.307857
