Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1099.00			0.0	1.0	4.5	89%	1	1	1	2020-08-03 06:32:55.551157
Shantam International	1099.00	6	6-7 days	0.0	1.0	4	83%	0	0	0	2020-08-03 06:32:55.551157
Discount Junction	1249.00	417		150.0	1.1365	3.5	61%	0	0	0	2020-08-03 06:32:55.551157
Timex Avtansh	1249.00	2	7-8 days	150.0	1.1365	5	100%	0	0	0	2020-08-03 06:32:55.551157
