Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAGS HI BAG	1069.00	72		0.0	1.0	3.5	68%	1	0	1	2020-08-03 06:32:55.551157
Desert Retail	1070.00	28		1.0	1.0009	4	79%	0	0	0	2020-08-03 06:32:55.551157
Cloudtail India	1130.00			61.0	1.0571	4.5	89%	1	1	0	2020-08-03 06:32:55.551157
BAG STREET	1140.00	379		71.0	1.0664	4.5	91%	1	0	0	2020-08-03 06:32:55.551157
THE CONNECT	1150.00	8		81.0	1.0758	4	75%	0	0	0	2020-08-03 06:32:55.551157
Deals7x24	1250.00	44	8-9 days	181.0	1.1693	3.5	71%	0	0	0	2020-08-03 06:32:55.551157
YATEE TRADING COMPANY	1358.00	94		289.0	1.2703	4	78%	1	0	0	2020-08-03 06:32:55.551157
Balaji E	1358.00	34		289.0	1.2703	4	76%	1	0	0	2020-08-03 06:32:55.551157
Ocean Bag	1330.00	6		261.0	1.2442	4.5	83%	0	0	0	2020-08-03 06:32:55.551157
BagStop	1351.00	58		282.0	1.2638	3.5	57%	0	0	0	2020-08-03 06:32:55.551157
Desert Retail	1350.00	28		281.0	1.2629	4	79%	0	0	0	2020-08-03 06:32:55.551157
eLITESPORTS	1506.00	594		437.0	1.4088	4.5	90%	0	0	0	2020-08-03 06:32:55.551157
cloudind	1649.00		6-7 days	580.0	1.5426	4.5	93%	0	0	0	2020-08-03 06:32:55.551157
Brands India	1690.00	251		621.0	1.5809	4	90%	1	0	0	2020-08-03 06:32:55.551157
SmileyEbiz	1699.00	1	7-8 days	630.0	1.5893	1	0%	0	0	0	2020-08-03 06:32:55.551157
V-THREE	1832.00	4	7-8 days	763.0	1.7138	4	75%	0	0	0	2020-08-03 06:32:55.551157
SmileyEbiz	1849.00	1	7-8 days	780.0	1.7297	1	0%	0	0	0	2020-08-03 06:32:55.551157
gsienterprises	1832.00	6	6-7 days	763.0	1.7138	3	50%	0	0	0	2020-08-03 06:32:55.551157
The Skool Shoppe	1961.00		8-9 days	892.0	1.8344			0	0	0	2020-08-03 06:32:55.551157
ecomstars	2290.00			1221.0	2.1422	4	79%	1	0	0	2020-08-03 06:32:55.551157
