Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1060.00			0.0	1.0	4.5	89%	1	1	1	2020-08-01 01:43:30.807179
Easy Home Deals	1099.00	326		39.0	1.0368	4	79%	1	0	0	2020-08-01 01:43:30.807179
