Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAG STREET	1380.00	379		0.0	1.0	4.5	91%	1	0	1	2020-08-01 01:43:30.807179
E-Shop Retail	1380.00	81	9-11 days	0.0	1.0	4.5	86%	0	0	0	2020-08-01 01:43:30.807179
Catchy Bags	1417.00	124		37.0	1.0268	4.5	94%	1	0	0	2020-08-01 01:43:30.807179
Balaji E	1420.00	34		40.0	1.029	4	76%	1	0	0	2020-08-01 01:43:30.807179
YATEE TRADING COMPANY	1420.00	94		40.0	1.029	4	78%	1	0	0	2020-08-01 01:43:30.807179
Digi tree electrical & electronics	1399.00		8-9 days	19.0	1.0138			0	0	0	2020-08-01 01:43:30.807179
eLITESPORTS	1546.00			166.0	1.1203	4.5	90%	0	0	0	2020-08-01 01:43:30.807179
Ocean Bag	1650.00	594		270.0	1.1957	4.5	83%	0	0	0	2020-08-01 01:43:30.807179
V-THREE	1880.00	6		500.0	1.3623	4	75%	0	0	0	2020-08-01 01:43:30.807179
NEW FANCY BAGS	1849.00	4	3-4 days	469.0	1.3399	5	100%	0	0	0	2020-08-01 01:43:30.807179
gsienterprises	1880.00	4		500.0	1.3623	3	50%	0	0	0	2020-08-01 01:43:30.807179
