Price + Delivery	Condition	Seller Information	Delivery
  1,099.00 | Prime : Yes |  |   1,099.00	New	GoTo Style Mart | 4.5 out of 5 stars  | 97% positive | 22,662 total rating	Fullfilled by Amazon
  1,099.00 | Prime : Yes |  |   1,099.00	New	AnandEnterprisesForU | 3.5 out of 5 stars  | 73% positive | 11 total rating	Fullfilled by Amazon
  1,130.00 | Prime : Yes |  |   1,130.00	New	Atlantic LLC | 4 out of 5 stars  | 83% positive | 70 total rating	Fullfilled by Amazon
  1,140.00 | Prime : Yes |  |   1,140.00	New	Cloudtail India | 4.5 out of 5 stars  | 90% positive | 1,312,405 total rating	Fullfilled by Amazon
  1,399.00 | Prime : Yes |  |   1,399.00	New	Buy More | 4 out of 5 stars  | 84% positive | 12,987 total rating	Fullfilled by Amazon
