Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
RS ENTERPRISES	1046.00	18		0.0	1.0	4	78%	1	0	0	2020-07-24 18:10:17.882362
DEALS AMAZING	1047.00			1.0	1.001	4	81%	1	0	1	2020-07-24 18:10:17.882362
Earth industries	1048.00	29		2.0	1.0019	3	44%	1	0	0	2020-07-24 18:10:17.882362
TODAY'S DEAL	1057.00			11.0	1.0105	4	80%	1	0	0	2020-07-24 18:10:17.882362
E-Shop Retail	1057.00	80		11.0	1.0105	4.5	85%	1	0	0	2020-07-24 18:10:17.882362
A Bags world	1059.50	62		13.5	1.0129	3.5	69%	1	0	0	2020-07-24 18:10:17.882362
BAGS HI BAG	1063.00	72		17.0	1.0163	3.5	69%	1	0	0	2020-07-24 18:10:17.882362
THE CONNECT	1066.00	8	12-13 days	20.0	1.0191	4	75%	0	0	0	2020-07-24 18:10:17.882362
E-TECH RETAIL	1099.00	1	12-14 days	53.0	1.0507	5	100%	0	0	0	2020-07-24 18:10:17.882362
cloudind	1130.00			84.0	1.0803	4.5	90%	0	0	0	2020-07-24 18:10:17.882362
Standard enterprise	1247.00	1	12-13 days	201.0	1.1922	4	100%	0	0	0	2020-07-24 18:10:17.882362
Viva Bags	1249.00	8	6-9 days	203.0	1.1941	4	75%	0	0	0	2020-07-24 18:10:17.882362
BagStop	1175.00	58		129.0	1.1233	3.5	57%	0	0	0	2020-07-24 18:10:17.882362
Backpack World	1290.00		6-9 days	244.0	1.2333	4.5	89%	0	0	0	2020-07-24 18:10:17.882362
PAXFUL	1299.00		11-13 days	253.0	1.2419			0	0	0	2020-07-24 18:10:17.882362
Deepsum Bags	1900.00		7-9 days	854.0	1.8164	5	100%	0	0	0	2020-07-24 18:10:17.882362
gsienterprises	1918.00	4		872.0	1.8337	3	50%	0	0	0	2020-07-24 18:10:17.882362
