Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	309.00	56		10.0	1.0334	4.5	90%	1	0	1	2020-07-30 07:50:01.219240
BAGS KART	320.00	79		21.0	1.0702	4.5	92%	1	0	0	2020-07-30 07:50:01.219240
Cloudtail India	325.00			26.0	1.087	4.5	89%	1	1	0	2020-07-30 07:50:01.219240
Desert Retail	325.00	28		26.0	1.087	4	79%	0	0	0	2020-07-30 07:50:01.219240
Festivals	369.00			70.0	1.2341	3.5	60%	1	0	0	2020-07-30 07:50:01.219240
INDIA'S BEST COMPETITIVE PRICES	299.00	34	10-11 days	0.0	1.0	2.5	35%	0	0	0	2020-07-30 07:50:01.219240
Easy Home Deals	449.00	325		150.0	1.5017	4	79%	1	0	0	2020-07-30 07:50:01.219240
Big Bazaar	475.00			176.0	1.5886	3.5	58%	1	0	0	2020-07-30 07:50:01.219240
Shiva Assosciates	699.00	6	8-10 days	400.0	2.3378	3.5	67%	0	0	0	2020-07-30 07:50:01.219240
LVDV	799.00	19		500.0	2.6722	4	73%	0	0	0	2020-07-30 07:50:01.219240
