Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	998.00			0.0	1.0	4.5	90%	1	1	1	2020-07-23 14:34:01.462693
Shop-Box	998.00	192	11-12 days	0.0	1.0	3	42%	0	0	0	2020-07-23 14:34:01.462693
Tirupati online shopping	999.00	2		1.0	1.001	1	0%	0	0	0	2020-07-23 14:34:01.462693
