Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
ecomstars	1433.00			0.0	1.0	4	79%	1	0	1	2020-08-03 17:48:15.380713
SanSac Global	1434.00	9		1.0	1.0007	2.5	44%	1	0	0	2020-08-03 17:48:15.380713
JKM ENTERPRISES INDIA	1439.00	3	7-8 days	6.0	1.0042	3.5	67%	0	0	0	2020-08-03 17:48:15.380713
Olympia Industries Ltd	1486.00			53.0	1.037	4.5	89%	1	0	0	2020-08-03 17:48:15.380713
Desert Retail	1596.00	28		163.0	1.1137	4	79%	0	0	0	2020-08-03 17:48:15.380713
E-TECH RETAIL	1599.00	1	9-10 days	166.0	1.1158	5	100%	0	0	0	2020-08-03 17:48:15.380713
Backpack World	1650.00			217.0	1.1514	4	83%	0	0	0	2020-08-03 17:48:15.380713
Nasher Miles Private Limited	1699.00			266.0	1.1856	5	96%	1	0	0	2020-08-03 17:48:15.380713
Net Distribution Services Pvt Ltd	1700.00	779		267.0	1.1863	4.5	85%	1	0	0	2020-08-03 17:48:15.380713
LAHAR SELECTION	1999.00		8-9 days	566.0	1.395			0	0	0	2020-08-03 17:48:15.380713
The Skool Shoppe	2100.00		9-10 days	667.0	1.4655			0	0	0	2020-08-03 17:48:15.380713
