Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	299.00			100.0	1.5025	4.5	90%	1	1	1	2020-07-15 16:11:17.333846
INDIA RETAIL LOWEST PRICES	199.00	27		0.0	1.0	3	42%	0	0	0	2020-07-15 16:11:17.333846
BAGS KART	325.00	76		126.0	1.6332	4.5	94%	1	0	0	2020-07-15 16:11:17.333846
LUGGAGE ESSENTIALS	350.00	5	7-8 days	151.0	1.7588	2	40%	0	0	0	2020-07-15 16:11:17.333846
VISION CORPORATION	399.00	42		200.0	2.005	4.5	100%	1	0	0	2020-07-15 16:11:17.333846
RealBrands	399.00	122		200.0	2.005	4	78%	0	0	0	2020-07-15 16:11:17.333846
Easy Home Deals	449.00	317		250.0	2.2563	4	80%	1	0	0	2020-07-15 16:11:17.333846
Big Bazaar	475.00			276.0	2.3869	3	56%	1	0	0	2020-07-15 16:11:17.333846
Sumraj India Udyog	699.00		2-6 days	500.0	3.5126			0	0	0	2020-07-15 16:11:17.333846
LVDV	799.00		8-9 days	600.0	4.0151	4	69%	0	0	0	2020-07-15 16:11:17.333846
