Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Click At Luggage	1480.00	714		0.0	1.0	4.5	95%	1	0	0	2020-08-02 21:01:06.919752
Olympia Industries Ltd	1486.00			6.0	1.0041	4.5	89%	1	0	1	2020-08-02 21:01:06.919752
Desert Retail	1596.00	28		116.0	1.0784	4	79%	0	0	0	2020-08-02 21:01:06.919752
E-TECH RETAIL	1599.00	1	9-10 days	119.0	1.0804	5	100%	0	0	0	2020-08-02 21:01:06.919752
Backpack World	1650.00		8-9 days	170.0	1.1149	4	83%	0	0	0	2020-08-02 21:01:06.919752
Nasher Miles Private Limited	1699.00			219.0	1.148	5	96%	1	0	0	2020-08-02 21:01:06.919752
Net Distribution Services Pvt Ltd	1700.00	779		220.0	1.1486	4.5	85%	1	0	0	2020-08-02 21:01:06.919752
ecomstars	1750.00			270.0	1.1824	4	79%	1	0	0	2020-08-02 21:01:06.919752
LAHAR SELECTION	1999.00		8-9 days	519.0	1.3507			0	0	0	2020-08-02 21:01:06.919752
The Skool Shoppe	2100.00		9-10 days	620.0	1.4189			0	0	0	2020-08-02 21:01:06.919752
