Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	13800.00			275.0	1.0203	4.5	89%	1	1	1	2020-08-02 21:01:06.919752
Travel Gear	13525.00	1	10-11 days	0.0	1.0	1	0%	0	0	0	2020-08-02 21:01:06.919752
