Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
MADHUR ENTERPRISE	1475.00	163		0.0	1.0	4.5	93%	1	0	1	2020-08-02 21:01:06.919752
Verizoni LLC	1477.00			2.0	1.0014	3.5	69%	1	0	0	2020-08-02 21:01:06.919752
TODAY'S DEAL	1477.00			2.0	1.0014	4	80%	1	0	0	2020-08-02 21:01:06.919752
DEALS AMAZING	1498.00			23.0	1.0156	4	80%	1	0	0	2020-08-02 21:01:06.919752
BAG STREET	1525.00	379		50.0	1.0339	4.5	91%	1	0	0	2020-08-02 21:01:06.919752
Harricane	1530.00	252		55.0	1.0373	3.5	65%	1	0	0	2020-08-02 21:01:06.919752
World Market	1599.00	39		124.0	1.0841	4.5	93%	1	0	0	2020-08-02 21:01:06.919752
Bag Square	1750.00	19		275.0	1.1864	4	80%	1	0	0	2020-08-02 21:01:06.919752
VANYA SALES	1899.00	434		424.0	1.2875	4.5	87%	1	0	0	2020-08-02 21:01:06.919752
Adventure Hut	1899.00	9		424.0	1.2875	3	56%	0	0	0	2020-08-02 21:01:06.919752
Verizoni LLC	1899.00		5-7 days	424.0	1.2875	3.5	69%	0	0	0	2020-08-02 21:01:06.919752
