Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
TODAY'S DEAL	1028.00			0.0	1.0	4	81%	1	0	0	2020-08-02 01:48:11.153797
RS ENTERPRISES	1028.00	19		0.0	1.0	4	79%	1	0	0	2020-08-02 01:48:11.153797
HEXA A STORE	1028.00	36	10-14 days	0.0	1.0	2.5	45%	0	0	1	2020-08-02 01:48:11.153797
DEALS AMAZING	1059.00			31.0	1.0302	4	80%	1	0	0	2020-08-02 01:48:11.153797
A Bags world	1059.50	62		31.5	1.0306	3.5	69%	1	0	0	2020-08-02 01:48:11.153797
BAGS HI BAG	1063.00	72		35.0	1.034	3.5	68%	1	0	0	2020-08-02 01:48:11.153797
THE CONNECT	1066.00	8	9-10 days	38.0	1.037	4	75%	0	0	0	2020-08-02 01:48:11.153797
E-TECH RETAIL	1099.00	1	8-10 days	71.0	1.0691	5	100%	0	0	0	2020-08-02 01:48:11.153797
CONCEPTENTERPRISES	1199.00		7-8 days	171.0	1.1663			0	0	0	2020-08-02 01:48:11.153797
TRENZY WORLD	1247.00			219.0	1.213	4	100%	0	0	0	2020-08-02 01:48:11.153797
HEXA A STORE	1028.00	1	10-14 days	0.0	1.0	2.5	45%	0	0	1	2020-08-02 01:48:11.153797
BAGS HI BAG	1063.00	36		35.0	1.034	3.5	68%	1	0	0	2020-08-02 01:48:11.153797
E-TECH RETAIL	1099.00	72	8-10 days	71.0	1.0691	5	100%	0	0	0	2020-08-02 01:48:11.153797
CONCEPTENTERPRISES	1199.00	1	7-8 days	171.0	1.1663			0	0	0	2020-08-02 01:48:11.153797
Viva Bags	1249.00			221.0	1.215	4	75%	0	0	0	2020-08-02 01:48:11.153797
BagStop	1175.00		10-14 days	147.0	1.143	3.5	57%	0	0	0	2020-08-02 01:48:11.153797
Backpack World	1290.00	8		262.0	1.2549	4	85%	0	0	0	2020-08-02 01:48:11.153797
Deepsum Bags	1900.00	58	7-8 days	872.0	1.8482	5	100%	0	0	0	2020-08-02 01:48:11.153797
gsienterprises	1918.00			890.0	1.8658	3	50%	0	0	0	2020-08-02 01:48:11.153797
Backpack World	1290.00	4		262.0	1.2549	4	85%	0	0	0	2020-08-02 01:48:11.153797
