Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-Shop Retail	1368.00	81		0.0	1.0	4.5	86%	1	0	1	2020-08-02 08:40:02.817372
Deals7x24	1368.00	44	8-10 days	0.0	1.0	4	73%	0	0	0	2020-08-02 08:40:02.817372
JKM ENTERPRISES INDIA	1384.00	3		16.0	1.0117	3.5	67%	1	0	0	2020-08-02 08:40:02.817372
SanSac Global	1386.00	9		18.0	1.0132	2.5	44%	1	0	0	2020-08-02 08:40:02.817372
E-TECH RETAIL	1404.00	1	8-10 days	36.0	1.0263	5	100%	0	0	0	2020-08-02 08:40:02.817372
Olympia Industries Ltd	1486.00			118.0	1.0863	4.5	89%	1	0	0	2020-08-02 08:40:02.817372
Desert Retail	1588.00	28		220.0	1.1608	4	79%	0	0	0	2020-08-02 08:40:02.817372
DEALS AMAZING	1593.00			225.0	1.1645	4	80%	1	0	0	2020-08-02 08:40:02.817372
CONCEPTENTERPRISES	1599.00		8-9 days	231.0	1.1689			0	0	0	2020-08-02 08:40:02.817372
TRENZY WORLD	1650.00			282.0	1.2061	4	100%	0	0	0	2020-08-02 08:40:02.817372
LAHAR SELECTION	1999.00	1	8-9 days	631.0	1.4613			0	0	0	2020-08-02 08:40:02.817372
The Skool Shoppe	2111.00		9-10 days	743.0	1.5431			0	0	0	2020-08-02 08:40:02.817372
Purvas Shoppe	2550.00		8-9 days	1182.0	1.864	4.5	94%	0	0	0	2020-08-02 08:40:02.817372
