Price + Delivery	Condition	Seller Information	Delivery
  1,430.00 | Prime : No | FREE Delivery | FREE Delivery.	New	CHVE | 4.5 out of 5 stars  | 88% positive | 42 total rating	Not fulfilled by Amazon | 8-9 days
  1,435.00 | Prime : Yes | FREE Delivery |   1,435.00	New	AnandEnterprisesForU | 3.5 out of 5 stars  | 73% positive | 11 total rating	Fullfilled by Amazon
  1,436.00 | Prime : Yes | FREE Delivery |   1,436.00	New	E-Shop Retail | 4.5 out of 5 stars  | 83% positive | 79 total rating	Fullfilled by Amazon
  1,436.00 | Prime : No | FREE Delivery | FREE Delivery.	New	Digitaly yours | 3 out of 5 stars  | 53% positive. | 36 total rating	Not fulfilled by Amazon | 8-9 days
  1,449.00 | Prime : Yes | FREE Delivery |   1,449.00	New	SanSac Global | 2.5 out of 5 stars  | 50% positive | 8 total rating	Fullfilled by Amazon
  1,596.00 | Prime : No | FREE Delivery | FREE Delivery.	New	Desert Retail | 4 out of 5 stars  | 79% positive. | 28 total rating	Not fulfilled by Amazon | 8-9 days
  1,599.00 | Prime : No | FREE Delivery | FREE Delivery.	New	E-TECH RETAIL | 5 out of 5 stars  | 100% positive | 1 total rating	Not fulfilled by Amazon | 8-10 days
  1,650.00 | Prime : No | FREE Delivery | FREE Delivery.	New	Backpack World | 4.5 out of 5 stars  | 94% positive | 1,268 total rating	Not fulfilled by Amazon | 6-7 days
  1,699.00 | Prime : Yes | FREE Delivery |   1,699.00	New	GoTo Style Mart | 4.5 out of 5 stars  | 96% positive | 22,663 total rating	Fullfilled by Amazon
  1,700.00 | Prime : Yes | FREE Delivery |   1,700.00	New	Net Distribution Services Pvt. Ltd | 4.5 out of 5 stars  | 85% positive | 774 total rating	Fullfilled by Amazon
  2,080.00 | Prime : No | +   100 | +   100.00 Delivery	New	The Skool Shoppe |  |  | Seller Profil	Not fulfilled by Amazon | 8-10 days
  2,550.00 | Prime : No | +   100 | +   120.00 Delivery	New	Purvas Shoppe | 4.5 out of 5 stars  | 94% positive. | 18 total rating	Not fulfilled by Amazon | 6-7 days
