Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
World Market	1418.00	37		0.0	1.0	4.5	92%	1	0	1	2020-07-23 23:01:19.320783
Cloudtail India	1419.00			1.0	1.0007	4.5	90%	1	1	0	2020-07-23 23:01:19.320783
DEALS AMAZING	1448.00			30.0	1.0212	4	81%	1	0	0	2020-07-23 23:01:19.320783
TODAY'S DEAL	1498.00			80.0	1.0564	4	81%	1	0	0	2020-07-23 23:01:19.320783
Verizoni LLC	1499.00			81.0	1.0571	3.5	70%	1	0	0	2020-07-23 23:01:19.320783
BAG STREET	1525.00	377		107.0	1.0755	4.5	91%	1	0	0	2020-07-23 23:01:19.320783
Bag Square	1750.00	19		332.0	1.2341	4	80%	1	0	0	2020-07-23 23:01:19.320783
VANYA SALES	1899.00	433		481.0	1.3392	4.5	86%	1	0	0	2020-07-23 23:01:19.320783
Adventure Hut	1899.00	9		481.0	1.3392	3	56%	0	0	0	2020-07-23 23:01:19.320783
Verizoni LLC	1899.00		5-6 days	481.0	1.3392	3.5	70%	0	0	0	2020-07-23 23:01:19.320783
