Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Catchy Bags	1998.00	124		0.0	1.0	4.5	96%	1	0	1	2020-07-14 07:33:22.591158
EVAN	1999.00			1.0	1.0005	4.5	93%	1	0	0	2020-07-14 07:33:22.591158
Cloudtail India	2527.00			529.0	1.2648	4.5	90%	1	1	0	2020-07-14 07:33:22.591158
shivani fashion	2700.00	45	10-12 days	702.0	1.3514	3	57%	0	0	0	2020-07-14 07:33:22.591158
SS Traders	5700.00		1-5 days	3702.0	2.8529			0	0	0	2020-07-14 07:33:22.591158
