Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1419.00			0.0	1.0	4.5	90%	1	1	1	2020-07-24 21:37:37.027134
DEALS AMAZING	1448.00			29.0	1.0204	4	81%	1	0	0	2020-07-24 21:37:37.027134
TODAY'S DEAL	1498.00			79.0	1.0557	4	80%	1	0	0	2020-07-24 21:37:37.027134
World Market	1499.00	37		80.0	1.0564	4.5	92%	1	0	0	2020-07-24 21:37:37.027134
Verizoni LLC	1499.00			80.0	1.0564	3.5	70%	1	0	0	2020-07-24 21:37:37.027134
BAG STREET	1525.00	377		106.0	1.0747	4.5	91%	1	0	0	2020-07-24 21:37:37.027134
Bag Square	1750.00	19		331.0	1.2333	4	80%	1	0	0	2020-07-24 21:37:37.027134
VANYA SALES	1899.00	433		480.0	1.3383	4.5	86%	1	0	0	2020-07-24 21:37:37.027134
Adventure Hut	1899.00	9		480.0	1.3383	3	56%	0	0	0	2020-07-24 21:37:37.027134
Verizoni LLC	1899.00		5-6 days	480.0	1.3383	3.5	70%	0	0	0	2020-07-24 21:37:37.027134
