Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
TheReliableStore	9440.00	873		0.0	1.0	4	75%	1	0	1	2020-07-31 08:06:13.534252
Express Deal	9440.00	660		0.0	1.0	4.5	94%	1	0	0	2020-07-31 08:06:13.534252
Vhatke	9440.00	11		0.0	1.0	4	73%	0	0	0	2020-07-31 08:06:13.534252
