Price + Delivery	Condition	Seller Information	Delivery
  199.00 | Prime : Yes |  | Pay on Delivery eligible	Used - Good	Re-Commerce | 4 out of 5 stars  | 76% positive | 79 total rating	Not fulfilled by Amazon
  220.00 | Prime : Yes |  | Pay on Delivery eligible	New	Nanda Book Service | 3.5 out of 5 stars  | 55% positive | 2,335 total rating	Not fulfilled by Amazon
  246.00 | Prime : Yes |  | Pay on Delivery eligible	New	ApnaBazzar | 3.5 out of 5 stars  | 63% positive | 49 total rating	Not fulfilled by Amazon
  199.00 | Prime : No | 	New	Books And Periodicals | 4.5 out of 5 stars  | 88% positive | 328 total rating	Not fulfilled by Amazon | 4-8 days
  259.00 | Prime : Yes |  | Pay on Delivery eligible	New	Re-Commerce | 4 out of 5 stars  | 76% positive | 79 total rating	Not fulfilled by Amazon
  269.00 | Prime : Yes |  | Pay on Delivery eligible	New	uRead-Store | 4.5 out of 5 stars  | 92% positive | 25,138 total rating	Fullfilled by Amazon
  279.00 | Prime : No | 	New	Read factor | 3.5 out of 5 stars  | 67% positive | 1,528 total rating	Not fulfilled by Amazon | 3-5 days
  220.00 | Prime : No |  | Pay on Delivery eligible	New	S S ENTERPRISES (INDIA) NOVEL SELLER | 5 out of 5 stars  | 100% positive | 1 total rating	Not fulfilled by Amazon | 8-9 days
  399.00 | Prime : No | 	New	A to Z Book House | 3 out of 5 stars  | 46% positive | 1,275 total rating	Not fulfilled by Amazon | 7-10 days
  2,554.00 | Prime : No | 	New	etohfa | 5 out of 5 stars  | 100% positive | 23 total rating	Not fulfilled by Amazon | 25-32 days
  246.00 | Prime : Yes |  | Pay on Delivery eligible	New	ApnaBazzar | 3.5 out of 5 stars  | 63% positive | 49 total rating	Not fulfilled by Amazon
