Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SKY VENTURE	2999.00			0.0	1.0	4.5	91%	1	0	1	2020-08-31 18:05:07.070009
All Shoppers Choice	13314.00	200	22-30 days	10315.0	4.4395	4	71%	0	0	0	2020-08-31 18:05:07.070009
