Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SAVERA ENTERPRISES	1735.00	33		0.0	1.0	4	79%	1	0	0	2020-07-15 23:30:19.870011
Cloudtail India	1735.00			0.0	1.0	4.5	90%	1	1	1	2020-07-15 23:30:19.870011
KHUSHI BAGS	1750.00	36	5-10 days	15.0	1.0086	4	83%	0	0	0	2020-07-15 23:30:19.870011
