Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	599.00			0.0	1.0	4.5	89%	1	1	1	2020-09-05 05:06:49.844467
Olympia Industries Ltd	1288.00			689.0	2.1503	4.5	89%	1	0	0	2020-09-05 05:06:49.844467
CS RETAIL	1386.00	73	9-13 days	787.0	2.3139	3	48%	0	0	0	2020-09-05 05:06:49.844467
