Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
TODAY'S DEAL	1028.00			0.0	1.0	4	80%	1	0	1	2020-07-31 13:04:32.069143
RS ENTERPRISES	1028.00	18		0.0	1.0	4	78%	1	0	0	2020-07-31 13:04:32.069143
AnandEnterprisesForU	1028.00	11		0.0	1.0	3.5	73%	1	0	0	2020-07-31 13:04:32.069143
DEALS AMAZING	1028.00			0.0	1.0	4	80%	1	0	0	2020-07-31 13:04:32.069143
Earth industries	1048.00	29		20.0	1.0195	3	44%	1	0	0	2020-07-31 13:04:32.069143
A Bags world	1059.50	62		31.5	1.0306	3.5	69%	1	0	0	2020-07-31 13:04:32.069143
BAGS HI BAG	1063.00	72		35.0	1.034	3.5	68%	1	0	0	2020-07-31 13:04:32.069143
THE CONNECT	1066.00	8	9-10 days	38.0	1.037	4	75%	0	0	0	2020-07-31 13:04:32.069143
E-TECH RETAIL	1099.00	1	9-11 days	71.0	1.0691	5	100%	0	0	0	2020-07-31 13:04:32.069143
cloudind	1130.00			102.0	1.0992	4.5	93%	0	0	0	2020-07-31 13:04:32.069143
Standard enterprise	1247.00	1	12-16 days	219.0	1.213	4	100%	0	0	0	2020-07-31 13:04:32.069143
Viva Bags	1249.00	8	7-9 days	221.0	1.215	4	75%	0	0	0	2020-07-31 13:04:32.069143
BagStop	1175.00	58	11-12 days	147.0	1.143	3.5	57%	0	0	0	2020-07-31 13:04:32.069143
Backpack World	1290.00		7-9 days	262.0	1.2549	4	85%	0	0	0	2020-07-31 13:04:32.069143
Deepsum Bags	1900.00	4	7-9 days	872.0	1.8482	5	100%	0	0	0	2020-07-31 13:04:32.069143
gsienterprises	1918.00	6		890.0	1.8658	3	50%	0	0	0	2020-07-31 13:04:32.069143
