Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
kamal Store 1	9783.00		2-5 days	0.0	1.0			0	0	0	2020-09-04 13:40:04.012383
Kiron	20335.00		23-32 days	10552.0	2.0786	5	100%	0	0	0	2020-09-04 13:40:04.012383
