Price + Delivery	Condition	Seller Information	Delivery
  13,231.00 | Prime : No | +   100 | +   100.00 Delivery	New	Cart2India SLP | 3 out of 5 stars  | 44% positive | 1,681 total rating	Not fulfilled by Amazon | 18-25 days
  13,231.00 | Prime : No | +   100 | +   100.00 Delivery	New	Cart2India Online | 3 out of 5 stars  | 46% positive | 16,146 total rating	Not fulfilled by Amazon | 18-25 days
