Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	849.00			0.0	1.0	4.5	90%	1	1	1	2020-07-27 21:26:57.203147
Olympia Industries Ltd	973.00			124.0	1.1461	4.5	89%	1	0	0	2020-07-27 21:26:57.203147
Fruition Retail Pvt Ltd	1199.00	105		350.0	1.4122	4	86%	1	0	0	2020-07-27 21:26:57.203147
