Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Catchy Bags	1010.00	124		0.0	1.0	4.5	95%	1	0	1	2020-07-27 11:34:28.178018
THE CONNECT	1010.00	8	11-13 days	0.0	1.0	4	75%	0	0	0	2020-07-27 11:34:28.178018
DEALS AMAZING	1019.00			9.0	1.0089	4	80%	1	0	0	2020-07-27 11:34:28.178018
Sachdeva Attachi House	1025.00	36		15.0	1.0149	4	72%	1	0	0	2020-07-27 11:34:28.178018
TODAY'S DEAL	1049.00			39.0	1.0386	4	80%	1	0	0	2020-07-27 11:34:28.178018
SEASON SALE	1050.00			40.0	1.0396	4.5	94%	1	0	0	2020-07-27 11:34:28.178018
Ocean Bag	1029.00	6		19.0	1.0188	4.5	83%	0	0	0	2020-07-27 11:34:28.178018
Backpack World	1095.00		7-8 days	85.0	1.0842	4.5	89%	0	0	0	2020-07-27 11:34:28.178018
BagStop	1100.00	58		90.0	1.0891	3.5	57%	0	0	0	2020-07-27 11:34:28.178018
Balaji E	1240.00	34		230.0	1.2277	4	76%	1	0	0	2020-07-27 11:34:28.178018
V-THREE	1275.00	4		265.0	1.2624	4	75%	0	0	0	2020-07-27 11:34:28.178018
V-THREE	1360.00	4		350.0	1.3465	4	75%	0	0	0	2020-07-27 11:34:28.178018
gsienterprises	1360.00	6	7-8 days	350.0	1.3465	3	50%	0	0	0	2020-07-27 11:34:28.178018
