Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
JKM ENTERPRISES INDIA	1149.00	4	7-9 days	0.0	1.0	3.5	75%	0	0	1	2020-09-04 10:05:58.817874
E-Shop Retail	1197.00	85		48.0	1.0418	4.5	82%	1	0	0	2020-09-04 10:05:58.817874
CONCEPTENTERPRISES	1197.00		7-9 days	48.0	1.0418			0	0	0	2020-09-04 10:05:58.817874
DEALS AMAZING	1198.00			49.0	1.0426	4	76%	1	0	0	2020-09-04 10:05:58.817874
TODAY'S DEAL	1203.00			54.0	1.047	4	79%	1	0	0	2020-09-04 10:05:58.817874
Earth industries	1209.00		7-9 days	60.0	1.0522	3	45%	0	0	0	2020-09-04 10:05:58.817874
AnandEnterprisesForU	1249.00	31		100.0	1.087	3.5	73%	1	0	0	2020-09-04 10:05:58.817874
Catchy Bags	1250.00	11		101.0	1.0879	4.5	94%	1	0	0	2020-09-04 10:05:58.817874
Deepsum Bags	1900.00	124	9-10 days	751.0	1.6536	5	100%	0	0	0	2020-09-04 10:05:58.817874
Safari's luggage world	1918.00	4		769.0	1.6693	4	74%	0	0	0	2020-09-04 10:05:58.817874
The Skool Shoppe	1918.00	27	9-10 days	769.0	1.6693			0	0	0	2020-09-04 10:05:58.817874
