Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	819.00			0.0	1.0	4.5	90%	1	1	1	2020-07-15 08:14:10.935147
LVDV	1600.00	13	8-9 days	781.0	1.9536	4	69%	0	0	0	2020-07-15 08:14:10.935147
