Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Highland India	1439.00	175		0.0	1.0	5	99%	1	0	1	2020-07-27 03:49:42.932670
Cloudtail India	1529.00			90.0	1.0625	4.5	90%	1	1	0	2020-07-27 03:49:42.932670
SSTZ	1594.00	90		155.0	1.1077	4	77%	1	0	0	2020-07-27 03:49:42.932670
World Market	1599.00	38		160.0	1.1112	4.5	93%	1	0	0	2020-07-27 03:49:42.932670
Harricane	1670.00	250		231.0	1.1605	3.5	66%	1	0	0	2020-07-27 03:49:42.932670
DEALS AMAZING	1689.00			250.0	1.1737	4	80%	1	0	0	2020-07-27 03:49:42.932670
BAG STREET	1790.00	377		351.0	1.2439	4.5	91%	1	0	0	2020-07-27 03:49:42.932670
Lioncrown India	1799.00	798		360.0	1.2502	4	86%	1	0	0	2020-07-27 03:49:42.932670
Textech Solutions	1925.00	315		486.0	1.3377	4.5	92%	1	0	0	2020-07-27 03:49:42.932670
ABS Attache and Bags Store	2060.00	25		621.0	1.4315	4	80%	1	0	0	2020-07-27 03:49:42.932670
