Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	730.00			0.0	1.0	4.5	90%	1	1	1	2020-07-28 10:01:00.996320
LVDV	1400.00	19	9-10 days	670.0	1.9178	4	73%	0	0	0	2020-07-28 10:01:00.996320
