Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	681.00			0.0	1.0	4.5	90%	1	1	1	2020-07-15 21:24:51.325597
Buy More	1057.00			376.0	1.5521	4	84%	1	0	0	2020-07-15 21:24:51.325597
Discount Junction	1299.00	410		618.0	1.9075	3.5	64%	0	0	0	2020-07-15 21:24:51.325597
Timex Avtansh	1299.00	1	6-7 days	618.0	1.9075	5	100%	0	0	0	2020-07-15 21:24:51.325597
