Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
EVAN	784.80			0.0	1.0	4.5	94%	1	0	1	2020-08-26 23:59:47.583144
BAGS HI BAG	784.80	72		0.0	1.0	3.5	70%	1	0	0	2020-08-26 23:59:47.583144
Catchy Bags	785.00	124		0.2	1.0003	4.5	94%	1	0	0	2020-08-26 23:59:47.583144
Desert Retail	789.30	28	7-8 days	4.5	1.0057	4	79%	0	0	0	2020-08-26 23:59:47.583144
JAI GANPATI BAGS	820.00	387		35.2	1.0449	4.5	91%	1	0	0	2020-08-26 23:59:47.583144
ecomstars	849.00			64.2	1.0818	4	79%	1	0	0	2020-08-26 23:59:47.583144
Baggiz	889.50	113		104.7	1.1334	4.5	96%	0	0	0	2020-08-26 23:59:47.583144
Balaji E	912.00	34		127.2	1.1621	4	76%	1	0	0	2020-08-26 23:59:47.583144
BNBLUG	900.00		5-6 days	115.2	1.1468			0	0	0	2020-08-26 23:59:47.583144
Stonehenge Retail	949.00			164.2	1.2092	4	82%	1	0	0	2020-08-26 23:59:47.583144
Aaresh Enterprises	949.00	206	11-12 days	164.2	1.2092	3.5	63%	0	0	0	2020-08-26 23:59:47.583144
Ocean Bag	899.00	8	5-9 days	114.2	1.1455	4.5	83%	0	0	0	2020-08-26 23:59:47.583144
TRENZY WORLD	1080.00	6	11-13 days	295.2	1.3761	4	100%	0	0	0	2020-08-26 23:59:47.583144
V-THREE	1360.00	1	4-5 days	575.2	1.7329	4	75%	0	0	0	2020-08-26 23:59:47.583144
gsienterprises	1360.00	4	6-8 days	575.2	1.7329	3	50%	0	0	0	2020-08-26 23:59:47.583144
Harricane	1500.00	6	7-10 days	715.2	1.9113	3.5	64%	0	0	0	2020-08-26 23:59:47.583144
