Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	2535.00			0.0	1.0	4.5	90%	1	1	1	2020-07-29 11:32:52.075379
RoadGods	2539.00		7-8 days	4.0	1.0016	4.5	82%	0	0	0	2020-07-29 11:32:52.075379
