Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
KUMSONS	839.00	12	5-6 days	0.0	1.0	2	17%	0	0	0	2020-08-01 04:12:02.374054
Cloudtail India	849.00			10.0	1.0119	4.5	89%	1	1	1	2020-08-01 04:12:02.374054
Sumraj India Udyog	1499.00	1	2-5 days	660.0	1.7867	5	100%	0	0	0	2020-08-01 04:12:02.374054
LVDV	2299.00	19	8-9 days	1460.0	2.7402	4	73%	0	0	0	2020-08-01 04:12:02.374054
