Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	295.00	56		0.0	1.0	4.5	90%	1	0	1	2020-08-01 04:12:02.374054
BAGS KART	305.00	79		10.0	1.0339	4.5	92%	1	0	0	2020-08-01 04:12:02.374054
Cloudtail India	325.00			30.0	1.1017	4.5	89%	1	1	0	2020-08-01 04:12:02.374054
Desert Retail	325.00	28		30.0	1.1017	4	79%	0	0	0	2020-08-01 04:12:02.374054
Festivals	369.00			74.0	1.2508	3.5	60%	1	0	0	2020-08-01 04:12:02.374054
INDIA'S BEST COMPETITIVE PRICES	349.00	36	8-9 days	54.0	1.1831	2.5	36%	0	0	0	2020-08-01 04:12:02.374054
Big Bazaar	475.00			180.0	1.6102	3	57%	1	0	0	2020-08-01 04:12:02.374054
Shiva Assosciates	699.00	6		404.0	2.3695	3.5	67%	0	0	0	2020-08-01 04:12:02.374054
SiH	799.00	44		504.0	2.7085	4.5	93%	0	0	0	2020-08-01 04:12:02.374054
LVDV	799.00	19	8-9 days	504.0	2.7085	4	73%	0	0	0	2020-08-01 04:12:02.374054
