Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAGS HI BAG	796.30	72		0.0	1.0	3.5	68%	1	0	1	2020-07-31 22:09:14.250954
EVAN	796.30			0.0	1.0	4.5	93%	1	0	0	2020-07-31 22:09:14.250954
Desert Retail	796.60	28	9-10 days	0.3	1.0004	4	79%	0	0	0	2020-07-31 22:09:14.250954
BAGSANDLUGGAGE	796.60	36		0.3	1.0004	2.5	45%	0	0	0	2020-07-31 22:09:14.250954
BAG STREET	820.00	379		23.7	1.0298	4.5	91%	1	0	0	2020-07-31 22:09:14.250954
Baggiz	889.50	113	10-11 days	93.2	1.117	4.5	96%	0	0	0	2020-07-31 22:09:14.250954
Balaji E	912.00	34		115.7	1.1453	4	76%	1	0	0	2020-07-31 22:09:14.250954
BNBLUG	900.00		6-7 days	103.7	1.1302			0	0	0	2020-07-31 22:09:14.250954
Stonehenge Retail	949.00			152.7	1.1918	4	81%	1	0	0	2020-07-31 22:09:14.250954
Ocean Bag	899.00	195		102.7	1.129	4.5	83%	0	0	0	2020-07-31 22:09:14.250954
Aaresh Enterprises	949.00	6	10-11 days	152.7	1.1918	3.5	63%	0	0	0	2020-07-31 22:09:14.250954
Standard enterprise	1080.00	8	12-16 days	283.7	1.3563	4	100%	0	0	0	2020-07-31 22:09:14.250954
Deepsum Bags	1300.00	1	7-9 days	503.7	1.6326	5	100%	0	0	0	2020-07-31 22:09:14.250954
V-THREE	1360.00	4		563.7	1.7079	4	75%	0	0	0	2020-07-31 22:09:14.250954
gsienterprises	1360.00	4		563.7	1.7079	3	50%	0	0	0	2020-07-31 22:09:14.250954
Harricane	1500.00	6		703.7	1.8837	3.5	66%	0	0	0	2020-07-31 22:09:14.250954
