Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	2210.00			0.0	1.0	4.5	90%	1	1	1	2020-07-12 22:23:02.656776
SAVERA ENTERPRISES	2210.00	33		0.0	1.0	4	79%	1	0	0	2020-07-12 22:23:02.656776
Net Distribution Services Pvt Ltd	2599.00	773		389.0	1.176	4.5	85%	1	0	0	2020-07-12 22:23:02.656776
