Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAG STREET	1470.00	375		0.0	1.0	4.5	91%	1	0	1	2020-07-12 22:23:02.656776
THE CONNECT	1470.00	8	12-14 days	0.0	1.0	4	75%	0	0	0	2020-07-12 22:23:02.656776
YATEE TRADING COMPANY	1490.00	94		20.0	1.0136	4	78%	1	0	0	2020-07-12 22:23:02.656776
Brands India	1715.00	247		245.0	1.1667	4.5	89%	1	0	0	2020-07-12 22:23:02.656776
Ocean Bag	1699.00	6		229.0	1.1558	4.5	83%	0	0	0	2020-07-12 22:23:02.656776
FASHION BAG KOTA	1661.00	1	9-10 days	191.0	1.1299	1	0%	0	0	0	2020-07-12 22:23:02.656776
V-THREE	1762.00	4		292.0	1.1986	4	75%	0	0	0	2020-07-12 22:23:02.656776
V-THREE	1880.00	4		410.0	1.2789	4	75%	0	0	0	2020-07-12 22:23:02.656776
Paduka partners	1899.00	1		429.0	1.2918	1	0%	0	0	0	2020-07-12 22:23:02.656776
gsienterprises	1880.00	6	8-9 days	410.0	1.2789	3	50%	0	0	0	2020-07-12 22:23:02.656776
