Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1439.00			0.0	1.0	4.5	90%	1	1	1	2020-07-13 07:29:15.595855
Discount Junction	1949.00	408		510.0	1.3544	3.5	64%	0	0	0	2020-07-13 07:29:15.595855
Timex Avtansh	1949.00	1	6-7 days	510.0	1.3544	5	100%	0	0	0	2020-07-13 07:29:15.595855
