Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Nasher Miles Private Limited	979.00			0.0	1.0	5	97%	1	0	1	2020-09-02 18:43:41.580750
FASHION BAG KOTA	985.00	1		6.0	1.0061	1	0%	0	0	0	2020-09-02 18:43:41.580750
