Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BAGS KART	290.00	83		0.0	1.0	4.5	94%	1	0	1	2020-09-02 18:43:41.580750
Barman Retail	290.00	59		0.0	1.0	4.5	91%	1	0	0	2020-09-02 18:43:41.580750
SiH	295.00	44		5.0	1.0172	4.5	93%	1	0	0	2020-09-02 18:43:41.580750
Desert Retail	301.00	28		11.0	1.0379	4	79%	0	0	0	2020-09-02 18:43:41.580750
Cloudtail India	320.00			30.0	1.1034	4.5	89%	1	1	0	2020-09-02 18:43:41.580750
Pass ki dukan	291.00	15	5-6 days	1.0	1.0034	4.5	87%	0	0	0	2020-09-02 18:43:41.580750
Festivals	369.00			79.0	1.2724	3.5	62%	1	0	0	2020-09-02 18:43:41.580750
INDIA'S BEST COMPETITIVE PRICES	295.00	70	8-11 days	5.0	1.0172	2.5	36%	0	0	0	2020-09-02 18:43:41.580750
Bombay Bag House	399.00		6-7 days	109.0	1.3759			0	0	0	2020-09-02 18:43:41.580750
Big Bazaar	449.00			159.0	1.5483	3.5	61%	1	0	0	2020-09-02 18:43:41.580750
Chandinicolection	299.00		5-6 days	9.0	1.031			0	0	0	2020-09-02 18:43:41.580750
Shiva Assosciates	699.00		6-7 days	409.0	2.4103	3	50%	0	0	0	2020-09-02 18:43:41.580750
