Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
SanSac Global	1029.00	8		0.0	1.0	2.5	50%	1	0	0	2020-07-15 18:16:14.649640
E-Shop Retail	1030.00	79		1.0	1.001	4.5	83%	1	0	1	2020-07-15 18:16:14.649640
RS ENTERPRISES	1030.00	18		1.0	1.001	4	78%	1	0	0	2020-07-15 18:16:14.649640
EFLIP BAGGSKART ECOMMERCE PVT LTD	1030.00	35	7-8 days	1.0	1.001	2.5	41%	0	0	0	2020-07-15 18:16:14.649640
E-TECH RETAIL	1040.00	1	8-11 days	11.0	1.0107	5	100%	0	0	0	2020-07-15 18:16:14.649640
TODAY'S DEAL	1057.00			28.0	1.0272	4	82%	1	0	0	2020-07-15 18:16:14.649640
AnandEnterprisesForU	1058.00	11		29.0	1.0282	3.5	73%	1	0	0	2020-07-15 18:16:14.649640
A Bags world	1059.50	62		30.5	1.0296	3.5	71%	1	0	0	2020-07-15 18:16:14.649640
DEALS AMAZING	1062.00			33.0	1.0321	4	81%	1	0	0	2020-07-15 18:16:14.649640
BAGS HI BAG	1063.00	70		34.0	1.033	4	71%	1	0	0	2020-07-15 18:16:14.649640
THE CONNECT	1066.00	9		37.0	1.036	3.5	67%	0	0	0	2020-07-15 18:16:14.649640
cloudind	1130.00			101.0	1.0982	4.5	87%	0	0	0	2020-07-15 18:16:14.649640
Standard enterprise	1247.00	1	11-12 days	218.0	1.2119	4	100%	0	0	0	2020-07-15 18:16:14.649640
Viva Bags	1249.00	8	6-7 days	220.0	1.2138	4	75%	0	0	0	2020-07-15 18:16:14.649640
Keshavcosmetics	1150.00		8-9 days	121.0	1.1176			0	0	0	2020-07-15 18:16:14.649640
BagStop	1175.00			146.0	1.1419	3.5	57%	0	0	0	2020-07-15 18:16:14.649640
Backpack World	1290.00	58	6-7 days	261.0	1.2536	4.5	94%	0	0	0	2020-07-15 18:16:14.649640
PAXFUL	1299.00		8-11 days	270.0	1.2624			0	0	0	2020-07-15 18:16:14.649640
Deepsum Bags	1900.00		8-9 days	871.0	1.8465	5	100%	0	0	0	2020-07-15 18:16:14.649640
gsienterprises	1918.00		8-11 days	889.0	1.8639	3	50%	0	0	0	2020-07-15 18:16:14.649640
MAMMOTH	1999.00	4	7-8 days	970.0	1.9427			0	0	0	2020-07-15 18:16:14.649640
The Skool Shoppe	1910.00	6	8-11 days	881.0	1.8562			0	0	0	2020-07-15 18:16:14.649640
