Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BRAND NINETY	8999.00	93		0.0	1.0	5	99%	1	0	1	2020-07-31 01:37:09.421463
Industrus Style	17499.00	7		8500.0	1.9445	3.5	71%	0	0	0	2020-07-31 01:37:09.421463
