Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-TECH RETAIL	1150.00	2	7-9 days	0.0	1.0	4.5	100%	0	0	1	2020-08-30 05:31:35.635905
E-Shop Retail	1215.00	84		65.0	1.0565	4.5	88%	1	0	0	2020-08-30 05:31:35.635905
EVAN	1219.00			69.0	1.06	4.5	94%	1	0	0	2020-08-30 05:31:35.635905
Earth industries	1219.00	31	6-7 days	69.0	1.06	3	45%	0	0	0	2020-08-30 05:31:35.635905
Catchy Bags	1250.00	124		100.0	1.087	4.5	94%	1	0	0	2020-08-30 05:31:35.635905
Bhagwati Bag Center	1350.00			200.0	1.1739			0	0	0	2020-08-30 05:31:35.635905
DEALS AMAZING	1397.00			247.0	1.2148	4	77%	1	0	0	2020-08-30 05:31:35.635905
TODAY'S DEAL	1397.00			247.0	1.2148	4	79%	1	0	0	2020-08-30 05:31:35.635905
Safari's luggage world	1918.00		7-9 days	768.0	1.6678	4	74%	0	0	0	2020-08-30 05:31:35.635905
gsienterprises	1918.00	27	7-8 days	768.0	1.6678	3	50%	0	0	0	2020-08-30 05:31:35.635905
The Skool Shoppe	1918.00	6	7-9 days	768.0	1.6678			0	0	0	2020-08-30 05:31:35.635905
