Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Global Klamp	11886.00	148	14-17 days	0.0	1.0	3.5	68%	0	0	1	2020-08-30 16:36:56.225489
STS Shop	12278.00		9-16 days	392.0	1.033	3.5	59%	0	0	0	2020-08-30 16:36:56.225489
Color Papers	22486.00		19-26 days	10600.0	1.8918	3.5	60%	0	0	0	2020-08-30 16:36:56.225489
