Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Ppj bags	1350.00	93		0.0	1.0	4	79%	0	0	1	2020-07-29 12:57:45.274133
BAG STREET	1380.00	379		30.0	1.0222	4.5	91%	1	0	0	2020-07-29 12:57:45.274133
Catchy Bags	1417.00	124		67.0	1.0496	4.5	95%	1	0	0	2020-07-29 12:57:45.274133
YATEE TRADING COMPANY	1420.00	94		70.0	1.0519	4	78%	1	0	0	2020-07-29 12:57:45.274133
Balaji E	1420.00	34		70.0	1.0519	4	76%	1	0	0	2020-07-29 12:57:45.274133
eLITESPORTS	1546.00	594	7-8 days	196.0	1.1452	4.5	90%	0	0	0	2020-07-29 12:57:45.274133
Ocean Bag	1650.00	6	6-7 days	300.0	1.2222	4.5	83%	0	0	0	2020-07-29 12:57:45.274133
V-THREE	1880.00	4		530.0	1.3926	4	75%	0	0	0	2020-07-29 12:57:45.274133
NEW FANCY BAGS	1849.00	4	2-4 days	499.0	1.3696	5	100%	0	0	0	2020-07-29 12:57:45.274133
gsienterprises	1880.00	6	7-8 days	530.0	1.3926	3	50%	0	0	0	2020-07-29 12:57:45.274133
