Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Cloudtail India	1419.00			0.0	1.0	4.5	90%	1	1	1	2020-07-29 12:57:45.274133
Verizoni LLC	1447.00			28.0	1.0197	3.5	70%	1	0	0	2020-07-29 12:57:45.274133
TODAY'S DEAL	1498.00			79.0	1.0557	4	80%	1	0	0	2020-07-29 12:57:45.274133
DEALS AMAZING	1498.00			79.0	1.0557	4	80%	1	0	0	2020-07-29 12:57:45.274133
World Market	1499.00	38		80.0	1.0564	4.5	92%	1	0	0	2020-07-29 12:57:45.274133
BAG STREET	1525.00	379		106.0	1.0747	4.5	91%	1	0	0	2020-07-29 12:57:45.274133
Bag Square	1750.00	19		331.0	1.2333	4	80%	1	0	0	2020-07-29 12:57:45.274133
VANYA SALES	1899.00	432		480.0	1.3383	4.5	89%	1	0	0	2020-07-29 12:57:45.274133
Adventure Hut	1899.00	9		480.0	1.3383	3	56%	0	0	0	2020-07-29 12:57:45.274133
Verizoni LLC	1899.00		5-6 days	480.0	1.3383	3.5	70%	0	0	0	2020-07-29 12:57:45.274133
