Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
E-TECH RETAIL	1150.00	2	8-11 days	0.0	1.0	4.5	100%	0	0	1	2020-08-28 00:27:36.594543
E-Shop Retail	1225.00	84		75.0	1.0652	4.5	88%	1	0	0	2020-08-28 00:27:36.594543
EVAN	1225.00			75.0	1.0652	4.5	94%	1	0	0	2020-08-28 00:27:36.594543
Earth industries	1225.00	30	7-9 days	75.0	1.0652	3	42%	0	0	0	2020-08-28 00:27:36.594543
Catchy Bags	1250.00	124		100.0	1.087	4.5	94%	1	0	0	2020-08-28 00:27:36.594543
JKM ENTERPRISES INDIA	1266.00	4	7-9 days	116.0	1.1009	3.5	75%	0	0	0	2020-08-28 00:27:36.594543
TODAY'S DEAL	1397.00			247.0	1.2148	4	80%	1	0	0	2020-08-28 00:27:36.594543
DEALS AMAZING	1397.00			247.0	1.2148	4	77%	1	0	0	2020-08-28 00:27:36.594543
Safari's luggage world	1918.00	27	10-11 days	768.0	1.6678	4	74%	0	0	0	2020-08-28 00:27:36.594543
gsienterprises	1918.00	6	7-9 days	768.0	1.6678	3	50%	0	0	0	2020-08-28 00:27:36.594543
The Skool Shoppe	1918.00		8-10 days	768.0	1.6678			0	0	0	2020-08-28 00:27:36.594543
