Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Digitaly yours	1436.00	36	7-8 days	0.0	1.0	3	53%	0	0	0	2020-07-26 23:59:03.379189
Earth industries	1454.00	29		18.0	1.0125	3	44%	1	0	1	2020-07-26 23:59:03.379189
Olympia Industries Ltd	1486.00			50.0	1.0348	4.5	89%	1	0	0	2020-07-26 23:59:03.379189
Desert Retail	1596.00	28		160.0	1.1114	4	79%	0	0	0	2020-07-26 23:59:03.379189
E-TECH RETAIL	1599.00	1	13-14 days	163.0	1.1135	5	100%	0	0	0	2020-07-26 23:59:03.379189
Backpack World	1650.00		6-7 days	214.0	1.149	4.5	89%	0	0	0	2020-07-26 23:59:03.379189
Nasher Miles Private Limited	1699.00			263.0	1.1831	5	97%	1	0	0	2020-07-26 23:59:03.379189
Net Distribution Services Pvt Ltd	1700.00	778		264.0	1.1838	4.5	86%	1	0	0	2020-07-26 23:59:03.379189
LAHAR SELECTION	1999.00		7-8 days	563.0	1.3921			0	0	0	2020-07-26 23:59:03.379189
The Skool Shoppe	2080.00			644.0	1.4485			0	0	0	2020-07-26 23:59:03.379189
