Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Zeus Fabrics	897.00	28		0.0	1.0	4.5	96%	1	0	1	2020-07-26 23:59:03.379189
Supreme Sports & Uniforms	940.00	62	10-11 days	43.0	1.0479	4.5	87%	0	0	0	2020-07-26 23:59:03.379189
BAGS HI BAG	1020.00	72		123.0	1.1371	3.5	69%	1	0	0	2020-07-26 23:59:03.379189
Big Bazaar	1069.00			172.0	1.1918	3.5	58%	1	0	0	2020-07-26 23:59:03.379189
BNBLUG	1090.00		4-6 days	193.0	1.2152			0	0	0	2020-07-26 23:59:03.379189
Sh Bala Ji Bag House	995.00		9-10 days	98.0	1.1093			0	0	0	2020-07-26 23:59:03.379189
SSTZ	1199.00			302.0	1.3367	4	77%	1	0	0	2020-07-26 23:59:03.379189
Standard enterprise	1250.00			353.0	1.3935	4	100%	0	0	0	2020-07-26 23:59:03.379189
standard bag house	1430.00	90		533.0	1.5942	5	100%	0	0	0	2020-07-26 23:59:03.379189
Ocean Bag	1390.00	1		493.0	1.5496	4.5	83%	0	0	0	2020-07-26 23:59:03.379189
V-THREE	1489.00	4		592.0	1.66	4	75%	0	0	0	2020-07-26 23:59:03.379189
Deepsum Bags	1500.00	6	6-7 days	603.0	1.6722	5	100%	0	0	0	2020-07-26 23:59:03.379189
KHUSHI BAGS	1432.00	4	10-15 days	535.0	1.5964	4	83%	0	0	0	2020-07-26 23:59:03.379189
V-THREE	1599.00	4		702.0	1.7826	4	75%	0	0	0	2020-07-26 23:59:03.379189
gsienterprises	1592.00	36	6-7 days	695.0	1.7748	3	50%	0	0	0	2020-07-26 23:59:03.379189
