Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Barman Retail	280.00	59		0.0	1.0	4.5	91%	1	0	1	2020-09-05 12:09:39.419655
SiH	290.00	44		10.0	1.0357	4.5	93%	1	0	0	2020-09-05 12:09:39.419655
Cloudtail India	320.00			40.0	1.1429	4.5	89%	1	1	0	2020-09-05 12:09:39.419655
Ganesh bag emporium	290.00		6-8 days	10.0	1.0357			0	0	0	2020-09-05 12:09:39.419655
Husamsons	379.00			99.0	1.3536	4	83%	1	0	0	2020-09-05 12:09:39.419655
Pass ki dukan	309.00	112	6-8 days	29.0	1.1036	4.5	87%	0	0	0	2020-09-05 12:09:39.419655
Smart BuyBox	300.00	15	9-12 days	20.0	1.0714	3	50%	0	0	0	2020-09-05 12:09:39.419655
INDIA'S BEST COMPETITIVE PRICES	290.00	10	9-12 days	10.0	1.0357	2.5	34%	0	0	0	2020-09-05 12:09:39.419655
VISION CORPORATION	399.00	73		119.0	1.425	4.5	98%	1	0	0	2020-09-05 12:09:39.419655
Bombay Bag House	399.00	44		119.0	1.425			0	0	0	2020-09-05 12:09:39.419655
The Skool Shoppe	350.00		8-10 days	70.0	1.25			0	0	0	2020-09-05 12:09:39.419655
Big Bazaar	449.00			169.0	1.6036	3.5	61%	1	0	0	2020-09-05 12:09:39.419655
Gulati marketing Corporation	599.00		6-8 days	319.0	2.1393	5	100%	0	0	0	2020-09-05 12:09:39.419655
