Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
BoxWish	2125.00			0.0	1.0	4	85%	1	0	0	2020-09-05 12:09:39.419655
D-Cart	2125.00	169		0.0	1.0	4	81%	1	0	1	2020-09-05 12:09:39.419655
Click At Luggage	2125.00	714		0.0	1.0	4.5	95%	1	0	0	2020-09-05 12:09:39.419655
SuperNV *****	2195.00	25		70.0	1.0329	3.5	67%	1	0	0	2020-09-05 12:09:39.419655
DEALS AMAZING	2273.00			148.0	1.0696	4	77%	1	0	0	2020-09-05 12:09:39.419655
World Market	2289.00	44		164.0	1.0772	4.5	93%	1	0	0	2020-09-05 12:09:39.419655
CLOUD STATION	2295.00	128		170.0	1.08	4	74%	1	0	0	2020-09-05 12:09:39.419655
Verizoni LLC	2363.00			238.0	1.112	4	73%	1	0	0	2020-09-05 12:09:39.419655
BAG STREETS	2723.00	388		598.0	1.2814	4.5	91%	1	0	0	2020-09-05 12:09:39.419655
TODAY'S DEAL	2740.00			615.0	1.2894	4	79%	1	0	0	2020-09-05 12:09:39.419655
Verizoni LLC	2363.00		5-6 days	238.0	1.112	4	73%	0	0	0	2020-09-05 12:09:39.419655
Stonehenge Retail	2799.00	212		674.0	1.3172	4	82%	1	0	0	2020-09-05 12:09:39.419655
PINNACLE RETAIL	2849.00	11	9-12 days	724.0	1.3407	3.5	73%	0	0	0	2020-09-05 12:09:39.419655
Be Fit 12013	2834.00	33	9-12 days	709.0	1.3336	3.5	61%	0	0	0	2020-09-05 12:09:39.419655
