Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Harricane	1277.00	249		0.0	1.0	3.5	65%	1	0	1	2020-07-16 01:18:52.159629
NAMO DIGITAL INDIA	1380.00	100	5-6 days	103.0	1.0807	4	83%	0	0	0	2020-07-16 01:18:52.159629
Traders JM	1499.00	13	8-10 days	222.0	1.1738	5	100%	0	0	0	2020-07-16 01:18:52.159629
