Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?	Time
Atlantic LLC	990.00	70		0.0	1.0	4	82%	1	0	1	2020-08-31 00:53:42.166785
Catchy Bags	995.00	124		5.0	1.0051	4.5	94%	1	0	0	2020-08-31 00:53:42.166785
MORE BUY	1008.90	38	6-12 days	18.9	1.0191	3	52%	0	0	0	2020-08-31 00:53:42.166785
Cloudtail India	1083.00			93.0	1.0939	4.5	89%	1	1	0	2020-08-31 00:53:42.166785
Digitaly yours	1185.00	36	7-8 days	195.0	1.197	3	53%	0	0	0	2020-08-31 00:53:42.166785
Backpack World	1218.00		6-7 days	228.0	1.2303	4	81%	0	0	0	2020-08-31 00:53:42.166785
BagStop	1350.00	58	8-9 days	360.0	1.3636	3.5	57%	0	0	0	2020-08-31 00:53:42.166785
cloudind	1499.00		5-8 days	509.0	1.5141	4.5	94%	0	0	0	2020-08-31 00:53:42.166785
Harricane	1500.00	254	6-7 days	510.0	1.5152	3.5	64%	0	0	0	2020-08-31 00:53:42.166785
TRENZY WORLD	1550.00	1	9-13 days	560.0	1.5657	4	100%	0	0	0	2020-08-31 00:53:42.166785
Brands India	1590.00	254		600.0	1.6061	4	87%	1	0	0	2020-08-31 00:53:42.166785
V-THREE	1960.00	4	5-6 days	970.0	1.9798	4	75%	0	0	0	2020-08-31 00:53:42.166785
gsienterprises	2240.00	6	7-8 days	1250.0	2.2626	3	50%	0	0	0	2020-08-31 00:53:42.166785
Purvas Shoppe	2240.00	19	6-9 days	1250.0	2.2626	4.5	95%	0	0	0	2020-08-31 00:53:42.166785
